"benchmark_id","workflow","replicate","seed","n_genes_input","n_cells","n_WT","n_rd10","pcs_calculated","pcs_used_downstream","core_workflow_elapsed_seconds","marker_elapsed_seconds","total_core_plus_marker_seconds","inferred_louvain_clusters","full_dataset_expected_clusters","full_dataset_cluster_match","marker_rows","significant_marker_rows_padj_0_05","hvg_used","peak_rss_mb_process","status","error_message","R_version","Seurat_version","SeuratObject_version","Matrix_version","hostname","timestamp_utc","gnu_time_peak_rss_mb","peak_rss_mb_for_summary"
"scrna_real_002500c_rep01","scrna_real_retina",1,1234,18533,2500,1073,1427,50,7,10.718,5.003,15.721,13,,,23951,13817,2000,1236.6328125,"success",,"4.6.1","5.5.1","5.4.0","1.7.6","ThinkCentre-M90q","2026-09-06 11:02:10 UTC",1236.6328125,1236.6328125
"scrna_real_002500c_rep02","scrna_real_retina",2,1234,18533,2500,1073,1427,50,7,10.748,5.061,15.809,13,,,23951,13817,2000,1236.515625,"success",,"4.6.1","5.5.1","5.4.0","1.7.6","ThinkCentre-M90q","2026-09-06 11:02:30 UTC",1236.515625,1236.515625
"scrna_real_002500c_rep03","scrna_real_retina",3,1234,18533,2500,1073,1427,50,7,10.696,5.088,15.784,13,,,23951,13817,2000,1236.7109375,"success",,"4.6.1","5.5.1","5.4.0","1.7.6","ThinkCentre-M90q","2026-09-06 11:02:49 UTC",1236.7109375,1236.7109375
"scrna_real_002500c_rep04","scrna_real_retina",4,1234,18533,2500,1073,1427,50,7,10.682,5.009,15.691,13,,,23951,13817,2000,1236.77734375,"success",,"4.6.1","5.5.1","5.4.0","1.7.6","ThinkCentre-M90q","2026-09-06 11:03:09 UTC",1236.77734375,1236.77734375
"scrna_real_002500c_rep05","scrna_real_retina",5,1234,18533,2500,1073,1427,50,7,10.612,5.005,15.617,13,,,23951,13817,2000,1236.703125,"success",,"4.6.1","5.5.1","5.4.0","1.7.6","ThinkCentre-M90q","2026-09-06 11:03:28 UTC",1236.703125,1236.703125
"scrna_real_005000c_rep01","scrna_real_retina",1,1234,18533,5000,2147,2853,50,7,16.94,8.966,25.906,13,,,24983,16287,2000,2004.85546875,"success",,"4.6.1","5.5.1","5.4.0","1.7.6","ThinkCentre-M90q","2026-09-06 11:04:29 UTC",2004.85546875,2004.85546875
"scrna_real_005000c_rep02","scrna_real_retina",2,1234,18533,5000,2147,2853,50,7,17.114,9.23,26.344,13,,,24983,16287,2000,2004.984375,"success",,"4.6.1","5.5.1","5.4.0","1.7.6","ThinkCentre-M90q","2026-09-06 11:05:00 UTC",2004.984375,2004.984375
"scrna_real_005000c_rep03","scrna_real_retina",3,1234,18533,5000,2147,2853,50,7,17.136,9.081,26.217,13,,,24983,16287,2000,2004.91015625,"success",,"4.6.1","5.5.1","5.4.0","1.7.6","ThinkCentre-M90q","2026-09-06 11:05:30 UTC",2004.91015625,2004.91015625
"scrna_real_005000c_rep04","scrna_real_retina",4,1234,18533,5000,2147,2853,50,7,16.938,9.067,26.005,13,,,24983,16287,2000,2004.98046875,"success",,"4.6.1","5.5.1","5.4.0","1.7.6","ThinkCentre-M90q","2026-09-06 11:06:01 UTC",2004.98046875,2004.98046875
"scrna_real_005000c_rep05","scrna_real_retina",5,1234,18533,5000,2147,2853,50,7,16.899,9.012,25.911,13,,,24983,16287,2000,2004.984375,"success",,"4.6.1","5.5.1","5.4.0","1.7.6","ThinkCentre-M90q","2026-09-06 11:06:31 UTC",2004.984375,2004.984375
"scrna_real_007500c_rep01","scrna_real_retina",1,1234,18533,7500,3220,4280,50,7,22.694,13.577,36.271,14,,,28820,19740,2000,2717.984375,"success",,"4.6.1","5.5.1","5.4.0","1.7.6","ThinkCentre-M90q","2026-09-06 11:07:53 UTC",2717.984375,2717.984375
"scrna_real_007500c_rep02","scrna_real_retina",2,1234,18533,7500,3220,4280,50,7,22.726,13.563,36.289,14,,,28820,19740,2000,2717.82421875,"success",,"4.6.1","5.5.1","5.4.0","1.7.6","ThinkCentre-M90q","2026-09-06 11:08:35 UTC",2717.82421875,2717.82421875
