"logFC","logCPM","F","PValue","FDR","gene","lfc","padj","significant"
-4.51182076495679,2.921265189002,2044.13461908921,1.70933786141345e-16,3.23440910136652e-12,"Ccl27a",-4.51182076495679,3.23440910136652e-12,TRUE
2.47349227679235,5.85423235349628,959.118012736611,3.1001360600498e-14,2.93303872641312e-10,"Ctss",2.47349227679235,2.93303872641312e-10,TRUE
2.60937903469993,3.02662053171174,899.823433128944,4.81266340484616e-14,3.03550723154997e-10,"Cfi",2.60937903469993,3.03550723154997e-10,TRUE
2.5928585107207,4.87955397010684,817.554546475822,9.26836846934903e-14,4.38440170442556e-10,"C1qb",2.5928585107207,4.38440170442556e-10,TRUE
2.49374431769244,4.94064105997171,737.296908726589,1.87949467921434e-13,7.11275966401874e-10,"Mpeg1",2.49374431769244,7.11275966401874e-10,TRUE
-1.47722617018463,5.64152850333168,669.269325320214,3.64006099656936e-13,1.0376683397266e-09,"Fam107b",-1.47722617018463,1.0376683397266e-09,TRUE
3.52074666198893,1.81920557800558,667.751337454731,3.83874768950756e-13,1.0376683397266e-09,"Clec7a",3.52074666198893,1.0376683397266e-09,TRUE
-4.23699588553674,-1.25486689537643,329.957663527191,6.32646547738516e-13,1.49636724703853e-09,"Gm10857",-4.23699588553674,1.49636724703853e-09,TRUE
1.85639353971288,6.0540609195172,559.795523423761,1.22895391953402e-12,2.58380734060253e-09,"Gabra2",1.85639353971288,2.58380734060253e-09,TRUE
2.03471713332556,4.06261074057051,535.713900168117,1.65742750859006e-12,2.96927212366382e-09,"Cx3cr1",2.03471713332556,2.96927212366382e-09,TRUE
2.36565845250234,3.02788819261233,532.59694620154,1.72613853505454e-12,2.96927212366382e-09,"Ly86",2.36565845250234,2.96927212366382e-09,TRUE
-3.00451119084112,2.0164897619922,516.198217319166,2.14480803700719e-12,3.38200480635418e-09,"Knstrn",-3.00451119084112,3.38200480635418e-09,TRUE
-4.08423330332381,2.34727490284823,507.017616328225,2.43749033968353e-12,3.54786093903783e-09,"Glb1l3",-4.08423330332381,3.54786093903783e-09,TRUE
1.1694265275142,8.76247953554336,490.056749972057,3.032397414144e-12,4.09850170503091e-09,"Vsx2",1.1694265275142,4.09850170503091e-09,TRUE
-3.80762761622792,2.88544057644039,477.8985126932,3.61147317897439e-12,4.55575303283690e-09,"Gm16055",-3.80762761622792,4.55575303283690e-09,TRUE
2.65541182252583,4.51419516558367,468.88102069278,4.09138211501779e-12,4.83857077377292e-09,"C1qc",2.65541182252583,4.83857077377292e-09,TRUE
-2.29250312290433,6.40350243281665,452.060895377724,5.23685971422611e-12,5.55659166440436e-09,"Arl4d",-2.29250312290433,5.55659166440436e-09,TRUE
2.11809622554422,3.08213031012439,451.498659479978,5.28583923260112e-12,5.55659166440436e-09,"Unc93b1",2.11809622554422,5.55659166440436e-09,TRUE
1.34057119499719,5.43318663712725,422.714545330565,8.24156583980223e-12,8.20773204319673e-09,"Siah3",1.34057119499719,8.20773204319673e-09,TRUE
2.12756611099274,1.9752578426127,416.86950651563,9.0869550151854e-12,8.47955171225395e-09,"Cd53",2.12756611099274,8.47955171225395e-09,TRUE
-4.84100688425047,-2.01154291619308,137.303782045042,9.41076978952187e-12,8.47955171225395e-09,"9130227L01Rik",-4.84100688425047,8.47955171225395e-09,TRUE
1.37846957896557,4.89314268497176,405.44586732854,1.09193840063322e-11,9.10659088284988e-09,"Chl1",1.37846957896557,9.10659088284988e-09,TRUE
-1.13990600263481,9.43075362003749,404.625914565808,1.10692099305331e-11,9.10659088284988e-09,"Stk35",-1.13990600263481,9.10659088284988e-09,TRUE
2.58663833220111,4.63828902005168,400.843108448031,1.17955298864302e-11,9.29979235462636e-09,"C1qa",2.58663833220111,9.29979235462636e-09,TRUE
1.38915497335268,5.42783009533773,392.141829974994,1.36714984500869e-11,1.03476837469018e-08,"Syt15",1.38915497335268,1.03476837469018e-08,TRUE
2.57355111481462,2.76262590897426,384.818690247394,1.55538663813956e-11,1.05306258989938e-08,"Fcgr3",2.57355111481462,1.05306258989938e-08,TRUE
-1.21381796874029,6.94451073111479,383.999927219049,1.57452782987888e-11,1.05306258989938e-08,"Pip4k2c",-1.21381796874029,1.05306258989938e-08,TRUE
2.06882110269024,3.88966312044026,381.0236770808,1.65974661540955e-11,1.05306258989938e-08,"H2-Q4",2.06882110269024,1.05306258989938e-08,TRUE
1.29614778987361,4.74767228114239,379.758335629603,1.69673211393942e-11,1.05306258989938e-08,"Greb1",1.29614778987361,1.05306258989938e-08,TRUE
1.04608997651494,6.91454838108231,379.3528683713,1.7089356875655e-11,1.05306258989938e-08,"Sulf2",1.04608997651494,1.05306258989938e-08,TRUE
-3.70089860476407,1.94774435849735,374.616683205144,1.8822911222114e-11,1.05306258989938e-08,"Gm11754",-3.70089860476407,1.05306258989938e-08,TRUE
-1.39475317062618,7.39300457745034,373.930461643227,1.88266547483911e-11,1.05306258989938e-08,"Rnf123",-1.39475317062618,1.05306258989938e-08,TRUE
2.16213483097787,1.66385793690098,374.191945807664,1.88411369966156e-11,1.05306258989938e-08,"Dock2",2.16213483097787,1.05306258989938e-08,TRUE
0.948702540332297,5.65316350146129,372.195024387071,1.94248068028664e-11,1.05306258989938e-08,"Kcng4",0.948702540332297,1.05306258989938e-08,FALSE
1.93268200785745,2.41335127561111,372.14276698069,1.94784857026097e-11,1.05306258989938e-08,"Fcer1g",1.93268200785745,1.05306258989938e-08,TRUE
-1.11128486527489,6.46915016441712,369.91499025103,2.02438312952264e-11,1.06403826602298e-08,"Cc2d2a",-1.11128486527489,1.06403826602298e-08,TRUE
1.09212675934913,4.63825672270086,365.226419889801,2.20558701367374e-11,1.12794912088472e-08,"Cdh13",1.09212675934913,1.12794912088472e-08,TRUE
-3.83047060590772,1.62386273949899,353.753009821567,2.79460069138536e-11,1.39156406006299e-08,"Gm14091",-3.83047060590772,1.39156406006299e-08,TRUE
-1.95431201253178,4.44030252454225,345.247056840412,3.21752381425778e-11,1.56107655418938e-08,"A430035B10Rik",-1.95431201253178,1.56107655418938e-08,TRUE
-0.901122653712384,8.2985198000699,340.631065504335,3.52104305527914e-11,1.66562941729979e-08,"Ap2a2",-0.901122653712384,1.66562941729979e-08,FALSE
-0.85440409723048,7.1185651208597,338.452235670418,3.67574108279231e-11,1.69639933581942e-08,"Usp12",-0.85440409723048,1.69639933581942e-08,FALSE
-1.125946023465,7.10377316191561,337.104972152737,3.77528315983528e-11,1.70085495120008e-08,"Map4k3",-1.125946023465,1.70085495120008e-08,TRUE
1.44561212752601,6.64845341173564,330.832411610935,4.28127423059682e-11,1.88395979049658e-08,"H2-D1",1.44561212752601,1.88395979049658e-08,TRUE
1.13597165787084,6.03644063433013,328.308187528801,4.50647455661527e-11,1.9083855997646e-08,"Rassf4",1.13597165787084,1.9083855997646e-08,TRUE
-1.23106774647291,6.98287998816597,327.81321226401,4.55219590847e-11,1.9083855997646e-08,"Taok3",-1.23106774647291,1.9083855997646e-08,TRUE
-1.90646956592424,5.42779871373138,326.885910455311,4.63934772165582e-11,1.9083855997646e-08,"H1f2",-1.90646956592424,1.9083855997646e-08,TRUE
-0.808451392301504,5.27821629091511,324.384211582639,4.88400728481782e-11,1.96628054985793e-08,"Me2",-0.808451392301504,1.96628054985793e-08,FALSE
