"benchmark_id","workflow","dataset","contrast","method","replicate","seed","n_genes_input","n_samples","reference","reference_n","comparison","comparison_n","padj_cutoff","abs_log2fc_cutoff","workflow_elapsed_seconds","n_genes_tested","n_significant","peak_rss_mb_process","status","error_message","R_version","DESeq2_version","edgeR_version","hostname","timestamp_utc","peak_ram_gb_gnutime"
"bulk_real_DESeq2_rd10_vs_WT_55291g_012s_rep01","bulk_real","raw_gene_counts.tsv","rd10 vs WT","DESeq2",1,1234,55291,12,"WT",4,"rd10",8,0.05,1,12.776,19982,2518,902.09765625,"success",NA,"4.6.1","1.52.0","4.10.4","ThinkCentre-M90q","2026-09-06 08:55:23 UTC",0.880954742431641
"bulk_real_DESeq2_rd10_vs_WT_55291g_012s_rep02","bulk_real","raw_gene_counts.tsv","rd10 vs WT","DESeq2",2,1234,55291,12,"WT",4,"rd10",8,0.05,1,13.085,19982,2518,902.1953125,"success",NA,"4.6.1","1.52.0","4.10.4","ThinkCentre-M90q","2026-09-06 08:55:37 UTC",0.881050109863281
"bulk_real_DESeq2_rd10_vs_WT_55291g_012s_rep03","bulk_real","raw_gene_counts.tsv","rd10 vs WT","DESeq2",3,1234,55291,12,"WT",4,"rd10",8,0.05,1,12.929,19982,2518,902.09765625,"success",NA,"4.6.1","1.52.0","4.10.4","ThinkCentre-M90q","2026-09-06 08:55:50 UTC",0.880954742431641
"bulk_real_DESeq2_rd10_vs_WT_55291g_012s_rep04","bulk_real","raw_gene_counts.tsv","rd10 vs WT","DESeq2",4,1234,55291,12,"WT",4,"rd10",8,0.05,1,12.783,19982,2518,902.109375,"success",NA,"4.6.1","1.52.0","4.10.4","ThinkCentre-M90q","2026-09-06 08:56:04 UTC",0.880966186523438
"bulk_real_DESeq2_rd10_vs_WT_55291g_012s_rep05","bulk_real","raw_gene_counts.tsv","rd10 vs WT","DESeq2",5,1234,55291,12,"WT",4,"rd10",8,0.05,1,12.955,19982,2518,902.20703125,"success",NA,"4.6.1","1.52.0","4.10.4","ThinkCentre-M90q","2026-09-06 08:56:17 UTC",0.881061553955078
"bulk_real_edgeR_rd10_vs_WT_55291g_012s_rep01","bulk_real","raw_gene_counts.tsv","rd10 vs WT","edgeR",1,1234,55291,12,"WT",4,"rd10",8,0.05,1,2.528,18922,2322,149.32421875,"success",NA,"4.6.1","1.52.0","4.10.4","ThinkCentre-M90q","2026-09-06 08:56:30 UTC",0.652271270751953
"bulk_real_edgeR_rd10_vs_WT_55291g_012s_rep02","bulk_real","raw_gene_counts.tsv","rd10 vs WT","edgeR",2,1234,55291,12,"WT",4,"rd10",8,0.05,1,2.525,18922,2322,149.453125,"success",NA,"4.6.1","1.52.0","4.10.4","ThinkCentre-M90q","2026-09-06 08:56:37 UTC",0.652267456054688
"bulk_real_edgeR_rd10_vs_WT_55291g_012s_rep03","bulk_real","raw_gene_counts.tsv","rd10 vs WT","edgeR",3,1234,55291,12,"WT",4,"rd10",8,0.05,1,2.512,18922,2322,149.296875,"success",NA,"4.6.1","1.52.0","4.10.4","ThinkCentre-M90q","2026-09-06 08:56:44 UTC",0.652034759521484
"bulk_real_edgeR_rd10_vs_WT_55291g_012s_rep04","bulk_real","raw_gene_counts.tsv","rd10 vs WT","edgeR",4,1234,55291,12,"WT",4,"rd10",8,0.05,1,2.516,18922,2322,149.5859375,"success",NA,"4.6.1","1.52.0","4.10.4","ThinkCentre-M90q","2026-09-06 08:56:50 UTC",0.652420043945312
"bulk_real_edgeR_rd10_vs_WT_55291g_012s_rep05","bulk_real","raw_gene_counts.tsv","rd10 vs WT","edgeR",5,1234,55291,12,"WT",4,"rd10",8,0.05,1,2.571,18922,2322,149.44921875,"success",NA,"4.6.1","1.52.0","4.10.4","ThinkCentre-M90q","2026-09-06 08:56:57 UTC",0.652267456054688
