method,n_samples,runs,successful_runs,analysis_only_median_s,analysis_only_q1_s,analysis_only_q3_s,cold_process_median_s,cold_process_q1_s,cold_process_q3_s,peak_ram_median_gb,peak_ram_min_gb,peak_ram_max_gb,genes_tested_median,significant_genes_median
DESeq2,6,5,5,4.251,4.248,4.283,8.231,8.225,8.309,0.716,0.715,0.716,19521.0,957.0
DESeq2,12,5,5,5.195,5.139,5.55,9.185,9.109,9.659,0.87,0.87,0.87,19761.0,1790.0
DESeq2,24,5,5,8.606,8.575,8.634,13.09,13.048,13.091,0.797,0.796,0.797,19875.0,1941.0
DESeq2,48,5,5,12.516,12.465,12.594,16.882,16.787,16.897,1.007,1.007,1.007,19917.0,1981.0
DESeq2,96,5,5,20.367,20.349,20.387,24.749,24.719,24.805,0.998,0.998,0.998,19946.0,1994.0
edgeR,6,5,5,1.653,1.648,1.653,1.918,1.911,1.922,0.635,0.635,0.635,19058.0,0.0
edgeR,12,5,5,2.119,2.108,2.121,2.365,2.363,2.383,0.641,0.641,0.641,19131.0,1610.0
edgeR,24,5,5,3.003,3.002,3.01,3.285,3.282,3.292,0.584,0.584,0.584,19168.0,1848.0
edgeR,48,5,5,4.991,4.989,4.995,5.248,5.238,5.267,0.631,0.631,0.631,19325.0,1914.0
edgeR,96,5,5,8.743,8.732,8.842,9.022,9.006,9.11,0.667,0.667,0.668,19423.0,1923.0
