method,genes,samples,runs,successful_runs,runtime_median_s,runtime_q1_s,runtime_q3_s,peak_ram_median_gb,peak_ram_q1_gb,peak_ram_q3_gb
DESeq2,20000,6,5,5,4.251,4.248,4.283,0.716,0.715,0.716
DESeq2,20000,12,5,5,5.195,5.139,5.55,0.87,0.87,0.87
DESeq2,20000,24,5,5,8.606,8.575,8.634,0.797,0.796,0.797
DESeq2,20000,48,5,5,12.516,12.465,12.594,1.007,1.007,1.007
DESeq2,20000,96,5,5,20.367,20.349,20.387,0.998,0.998,0.998
edgeR,20000,6,5,5,1.653,1.648,1.653,0.635,0.635,0.635
edgeR,20000,12,5,5,2.119,2.108,2.121,0.641,0.641,0.641
edgeR,20000,24,5,5,3.003,3.002,3.01,0.584,0.584,0.584
edgeR,20000,48,5,5,4.991,4.989,4.995,0.631,0.631,0.631
edgeR,20000,96,5,5,8.743,8.732,8.842,0.667,0.667,0.668
