"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
5.95623897830526e-154,5.2427060696098,1,0.588,1.10386976984931e-149,"0","Rho"
1.08617624160825e-152,5.17663655403872,0.979,0.314,2.01301042857257e-148,"0","Gnat1"
1.03087653416535e-148,4.61781651752968,0.986,0.396,1.91052348076865e-144,"0","Pdc"
2.93406134875118e-145,4.61462976881521,0.972,0.331,5.43769589764056e-141,"0","Rp1"
4.65335612657544e-137,3.66200142975997,0.993,0.491,8.62406490938226e-133,"0","Sag"
2.70072241691656e-136,3.90676322613249,0.97,0.428,5.00524885527146e-132,"0","Prph2"
4.79167404400099e-136,4.34022542494049,0.954,0.485,8.88040950574703e-132,"0","Gnb1"
5.3842835632218e-135,5.38329362110571,0.883,0.137,9.97869272771896e-131,"0","Guca1b"
1.43675302827718e-134,6.00500255850813,0.878,0.114,2.6627343873061e-130,"0","Cnga1"
8.71668925175782e-133,5.0171650952878,0.908,0.213,1.61546401902828e-128,"0","Pde6a"
2.77817447169583e-128,3.53329004536011,0.966,0.599,5.14879074839388e-124,"0","Rom1"
1.43788694461005e-127,3.9140512329643,0.947,0.347,2.66483587444581e-123,"0","Pde6g"
3.98919328253887e-120,4.87694283835277,0.858,0.196,7.39317191052928e-116,"0","Pde6b"
7.68490025193006e-117,3.24545683492162,0.961,0.505,1.4242425636902e-112,"0","Gngt1"
4.84447200575467e-108,5.46127134498308,0.789,0.116,8.97825996826513e-104,"0","Nrl"
5.88772600294057e-106,5.97638499012502,0.761,0.082,1.09117226012498e-101,"0","Nr2e3"
1.04501469757063e-102,3.45796883488068,0.89,0.275,1.93672573900765e-98,"0","Rcvrn"
1.02821451299706e-96,4.97080668319999,0.745,0.137,1.90558995693745e-92,"0","Slc24a1"
8.35252446122454e-96,2.82505963040696,0.908,0.309,1.54797335839874e-91,"0","Tulp1"
2.12852266629998e-88,2.38053369089242,0.933,0.334,3.94479105745376e-84,"0","Guca1a"
1.21766831779598e-87,3.15796747459573,0.849,0.379,2.25670469337129e-83,"0","Rpgrip1"
6.96126705859731e-85,3.37827501940709,0.784,0.237,1.29013162396984e-80,"0","Hk2"
1.18306215222466e-84,3.05931281248577,0.821,0.292,2.19256908671796e-80,"0","Cplx4"
2.9221637917668e-78,1.92900957666422,0.952,0.721,5.41564615528141e-74,"0","Unc119"
2.19257415271956e-76,3.98467794583329,0.706,0.195,4.06349767723516e-72,"0","Cngb1"
4.84597998968353e-72,2.8686954886222,0.791,0.21,8.98105471488049e-68,"0","Rtbdn"
5.80175722977471e-72,2.98656762189874,0.794,0.418,1.07523966739415e-67,"0","Kcnb1"
3.34545648136268e-71,5.35821759961579,0.596,0.069,6.20013449690946e-67,"0","Samd11"
3.86247986025597e-71,1.24077011610523,0.892,0.803,7.1583339250124e-67,"0","Cst3"
6.70586578900063e-70,2.71983405871692,0.78,0.221,1.24279810667549e-65,"0","Aipl1"
5.0063473530816e-69,4.18624182934968,0.644,0.143,9.27826354946612e-65,"0","Pex5l"
3.0721166839758e-67,3.31818307633866,0.7,0.205,5.69355385041235e-63,"0","Rs1"
5.6480725981813e-67,2.41473440930735,0.837,0.55,1.04675729462094e-62,"0","Mir124a-1hg"
1.08661056563586e-66,4.09952342166631,0.633,0.153,2.01381536129294e-62,"0","Rdh12"
2.2653409176387e-66,1.7218397777383,0.897,0.851,4.19835632265981e-62,"0","Hmgn1"
5.36108176315682e-65,3.36068390133755,0.732,0.369,9.93569283165854e-61,"0","Pcmtd2"
9.51210318049655e-63,4.30278621158256,0.594,0.157,1.76287808244143e-58,"0","Reep6"
5.57138680797273e-62,3.66639684563352,0.651,0.181,1.03254511712159e-57,"0","Grk1"
8.69170097481583e-61,3.44085348108645,0.626,0.137,1.61083294166262e-56,"0","AI847159"
3.03022583846176e-60,2.92147315457384,0.745,0.474,5.61591754642118e-56,"0","Agpat3"
6.79003795851559e-60,3.82086310962799,0.606,0.139,1.25839773485169e-55,"0","March1"
1.26876077871105e-56,3.2466296591355,0.661,0.207,2.35139435118519e-52,"0","Prcd"
9.84743012702916e-56,1.19162154736708,0.945,0.957,1.82502422544231e-51,"0","Hsp90aa1"
3.07396551308585e-54,1.81794661578915,0.899,0.861,5.69698028540202e-50,"0","Tma7"
5.75481472983423e-54,2.68633234809186,0.741,0.407,1.06653981388018e-49,"0","Dmd"
2.6513512045831e-53,1.98205851632831,0.771,0.539,4.91374918745386e-49,"0","Epb41l2"
1.47003315414283e-51,3.49076757385803,0.651,0.301,2.72441244457291e-47,"0","Ybx3"
1.58902887842313e-51,2.03651767988355,0.8,0.494,2.94494722038159e-47,"0","Neurod1"
6.0610550682098e-48,3.4700063914545,0.576,0.169,1.12329533579132e-43,"0","Prom1"
1.5817323459496e-47,3.12766025000217,0.617,0.237,2.93142455674839e-43,"0","Fam57b"
7.89265622066452e-46,5.85322343831678,0.408,0.029,1.46274597737576e-41,"0","Susd3"
4.58692772422797e-45,4.23931553804003,0.548,0.185,8.50095315131169e-41,"0","Vax2os"
1.18208496824596e-43,3.96161186473702,0.475,0.097,2.19075807165023e-39,"0","Nxnl2"
1.5057741901415e-43,3.34968545420474,0.576,0.187,2.79065130658924e-39,"0","Fam161a"
1.15363256957695e-42,3.45569364395621,0.594,0.279,2.13802724119696e-38,"0","Faim"
8.34569256544039e-42,4.28896199463067,0.456,0.089,1.54670720315307e-37,"0","Pdzph1"
