"n_cells","category","step","runs","median_seconds","Q1_seconds","Q3_seconds"
2500,"core","create_seurat_and_qc_metrics",5,0.909,0.9,0.916
2500,"core","find_clusters",5,0.106999999999999,0.106999999999999,0.108000000000001
2500,"core","find_neighbors",5,0.602,0.6,0.604999999999999
2500,"core","find_variable_features",5,1.189,1.185,1.193
2500,"core","normalize_lognormalize",5,0.663,0.652,0.693000000000001
2500,"core","pca",5,2.074,2.055,2.107
2500,"core","scale_data",5,0.343,0.326000000000001,0.344
2500,"core","umap",5,3.401,3.385,3.413
2500,"markers","find_all_markers_inferred_clusters",5,4.835,4.832,4.879
5000,"core","create_seurat_and_qc_metrics",5,1.419,1.398,1.436
5000,"core","find_clusters",5,0.285,0.284000000000002,0.286999999999999
5000,"core","find_neighbors",5,1.149,1.14,1.156
5000,"core","find_variable_features",5,1.551,1.526,1.561
5000,"core","normalize_lognormalize",5,0.964,0.957,0.988
5000,"core","pca",5,3.676,3.671,3.685
5000,"core","scale_data",5,0.316000000000001,0.312999999999999,0.338000000000001
5000,"core","umap",5,6.165,6.144,6.182
5000,"markers","find_all_markers_inferred_clusters",5,8.881,8.831,8.896
7500,"core","create_seurat_and_qc_metrics",5,1.735,1.721,1.74
7500,"core","find_clusters",5,0.52,0.510000000000002,0.522000000000002
7500,"core","find_neighbors",5,1.706,1.705,1.711
7500,"core","find_variable_features",5,1.89,1.884,1.899
7500,"core","normalize_lognormalize",5,1.269,1.267,1.284
7500,"core","pca",5,4.678,4.659,4.728
7500,"core","scale_data",5,0.475999999999999,0.465,0.483000000000001
7500,"core","umap",5,8.947,8.932,8.972
7500,"markers","find_all_markers_inferred_clusters",5,13.39,13.365,13.409
10000,"core","create_seurat_and_qc_metrics",5,2.033,2.028,2.059
10000,"core","find_clusters",5,0.846999999999994,0.826999999999998,0.850999999999999
10000,"core","find_neighbors",5,2.294,2.29,2.298
10000,"core","find_variable_features",5,2.242,2.224,2.25
10000,"core","normalize_lognormalize",5,1.546,1.545,1.556
10000,"core","pca",5,6.371,6.341,6.412
10000,"core","scale_data",5,0.627000000000001,0.625999999999999,0.638
10000,"core","umap",5,12.688,12.662,12.701
10000,"markers","find_all_markers_inferred_clusters",5,17.007,16.996,17.035
10430,"core","create_seurat_and_qc_metrics",5,2.065,2.064,2.07
10430,"core","find_clusters",5,0.898,0.898,0.899999999999999
10430,"core","find_neighbors",5,2.414,2.409,2.416
10430,"core","find_variable_features",5,2.291,2.284,2.325
10430,"core","normalize_lognormalize",5,1.592,1.576,1.632
10430,"core","pca",5,6.342,6.311,6.383
10430,"core","scale_data",5,0.662999999999998,0.662000000000001,0.667
10430,"core","umap",5,8.106,8.104,8.119
10430,"markers","find_all_markers_inferred_clusters",5,20.728,20.696,20.834
