"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
3.13531193980342e-188,9.47964991053692,1,0.006,6.27062387960684e-184,"C01","MarkerC01-019"
3.13533958624482e-188,9.75957036854539,1,0.005,6.27067917248964e-184,"C01","MarkerC01-069"
3.1353856641864e-188,9.86720621704661,1,0.005,6.2707713283728e-184,"C01","MarkerC01-074"
3.13540409555197e-188,10.2559403982888,1,0.004,6.27080819110393e-184,"C01","MarkerC01-085"
3.13545017443723e-188,10.4206253250535,1,0.003,6.27090034887447e-184,"C01","MarkerC01-145"
3.13548703803121e-188,10.1881647349642,1,0.004,6.27097407606243e-184,"C01","MarkerC01-090"
3.13548703803121e-188,9.89855341050354,1,0.005,6.27097407606243e-184,"C01","MarkerC01-104"
3.13552390205581e-188,10.1729909344723,1,0.005,6.27104780411163e-184,"C01","MarkerC01-130"
4.52194451704722e-188,10.301986487388,1,0.003,9.04388903409444e-184,"C01","MarkerC01-032"
4.52250182405136e-188,9.80236048394251,1,0.004,9.04500364810272e-184,"C01","MarkerC01-093"
4.52254163431077e-188,9.96038029406945,1,0.004,9.04508326862155e-184,"C01","MarkerC01-095"
4.52254163431077e-188,10.3822375998043,1,0.004,9.04508326862155e-184,"C01","MarkerC01-143"
4.52258144491881e-188,9.61947257562942,1,0.006,9.04516288983762e-184,"C01","MarkerC01-005"
4.52263452627182e-188,9.80646739584063,1,0.005,9.04526905254364e-184,"C01","MarkerC01-001"
4.52264779670754e-188,9.83310908463984,1,0.005,9.04529559341509e-184,"C01","MarkerC01-103"
4.52266106718027e-188,10.5316993547578,1,0.004,9.04532213436055e-184,"C01","MarkerC01-147"
4.52270087883512e-188,9.72529958030518,1,0.005,9.04540175767024e-184,"C01","MarkerC01-030"
4.52271414946484e-188,9.92018787182927,1,0.005,9.04542829892968e-184,"C01","MarkerC01-141"
4.52275396158312e-188,9.8257825968259,1,0.005,9.04550792316624e-184,"C01","MarkerC01-148"
4.52276723236747e-188,10.3423277231436,1,0.004,9.04553446473494e-184,"C01","MarkerC01-081"
4.52276723236747e-188,9.94781521063238,1,0.005,9.04553446473494e-184,"C01","MarkerC01-100"
4.52278050319024e-188,10.2766175709027,1,0.004,9.04556100638049e-184,"C01","MarkerC01-009"
4.52278050319024e-188,9.56250435452806,1,0.006,9.04556100638049e-184,"C01","MarkerC01-053"
4.52283358686887e-188,10.1634224322731,1,0.004,9.04566717373775e-184,"C01","MarkerC01-079"
4.52284685788518e-188,9.80472208116028,1,0.005,9.04569371577036e-184,"C01","MarkerC01-086"
4.5229397560865e-188,10.1637084240804,1,0.005,9.045879512173e-184,"C01","MarkerC01-023"
4.52296629877845e-188,9.89710541191734,1,0.005,9.0459325975569e-184,"C01","MarkerC01-046"
4.52296629877845e-188,9.85545879184552,1,0.005,9.0459325975569e-184,"C01","MarkerC01-070"
