n_cells,category,step,median_seconds,q1_seconds,q3_seconds
2500,core,create_seurat_and_qc_metrics,0.271,0.27,0.326
2500,core,find_clusters,0.186,0.186,0.190999999999999
2500,core,find_neighbors,0.565000000000001,0.562000000000001,0.604999999999997
2500,core,find_variable_features,1.027,1.004,1.095
2500,core,normalize_lognormalize,0.208,0.205,0.223
2500,core,pca,5.247,5.201,5.491
2500,core,scale_data,0.409,0.404000000000001,0.482
2500,core,umap,3.144,3.03,3.306
2500,marker_truth_labels,find_all_markers_truth_labels,0.766999999999999,0.763999999999999,0.779
5000,core,create_seurat_and_qc_metrics,0.478,0.475,0.478
5000,core,find_clusters,0.402000000000001,0.398,0.402000000000001
5000,core,find_neighbors,1.081,1.077,1.083
5000,core,find_variable_features,1.039,1.037,1.04
5000,core,normalize_lognormalize,0.246,0.244,0.248
5000,core,pca,12.652,12.646,12.661
5000,core,scale_data,0.513999999999999,0.512,0.516
5000,core,umap,5.621,5.619,5.622
5000,marker_truth_labels,find_all_markers_truth_labels,1.208,1.205,1.214
10000,core,create_seurat_and_qc_metrics,0.599,0.599,0.599
10000,core,find_clusters,0.624000000000002,0.623999999999995,0.627000000000002
10000,core,find_neighbors,2.195,2.192,2.196
10000,core,find_variable_features,1.106,1.102,1.108
10000,core,normalize_lognormalize,0.326000000000001,0.323,0.327
10000,core,pca,24.701,24.674,24.773
10000,core,scale_data,0.704,0.703,0.709
10000,core,umap,10.972,10.94,11.001
10000,marker_truth_labels,find_all_markers_truth_labels,1.898,1.898,1.901
25000,core,create_seurat_and_qc_metrics,1.317,1.316,1.317
25000,core,find_clusters,3.666,3.64,3.682
25000,core,find_neighbors,5.748,5.741,5.753
25000,core,find_variable_features,1.385,1.378,1.395
25000,core,normalize_lognormalize,0.776,0.775,0.782
25000,core,pca,70.701,70.691,70.719
25000,core,scale_data,1.46,1.458,1.462
25000,core,umap,17.134,17.041,17.191
25000,marker_truth_labels,find_all_markers_truth_labels,4.069,4.044,4.074
50000,core,create_seurat_and_qc_metrics,2.005,2.003,2.006
50000,core,find_clusters,53.217,52.951,53.304
50000,core,find_neighbors,12.23,12.215,12.473
50000,core,find_variable_features,1.876,1.873,1.882
50000,core,normalize_lognormalize,1.229,1.229,1.233
50000,core,pca,179.488,179.321,182.798
50000,core,scale_data,2.45,2.441,2.452
50000,core,umap,37.429,37.253,37.523
50000,marker_truth_labels,find_all_markers_truth_labels,7.625,7.56799999999998,8.096
