Modality,Dataset type,Method/workflow,Dataset size,Size unit,Step,Runs,Median time (s),Q1 time (s),Q3 time (s)
Bulk RNA-seq,Real retinal,DESeq2,12,samples,differential_expression_DESeq2,5,8.246,8.197,8.252
Bulk RNA-seq,Real retinal,DESeq2,12,samples,qc_hierarchical_clustering,5,0.0,0.0,0.001
Bulk RNA-seq,Real retinal,DESeq2,12,samples,qc_pca,5,0.007,0.006,0.007
Bulk RNA-seq,Real retinal,DESeq2,12,samples,qc_sample_correlation,5,0.001,0.001,0.001
Bulk RNA-seq,Real retinal,DESeq2,12,samples,qc_top_variable_genes,5,0.336,0.335,0.348
Bulk RNA-seq,Real retinal,edgeR,12,samples,differential_expression_edgeR,5,1.922,1.919,1.928
Bulk RNA-seq,Real retinal,edgeR,12,samples,qc_hierarchical_clustering,5,0.001,0.0,0.001
Bulk RNA-seq,Real retinal,edgeR,12,samples,qc_pca,5,0.007,0.006,0.007
Bulk RNA-seq,Real retinal,edgeR,12,samples,qc_sample_correlation,5,0.0,0.0,0.001
Bulk RNA-seq,Real retinal,edgeR,12,samples,qc_top_variable_genes,5,0.34,0.336,0.343
Bulk RNA-seq,Synthetic,DESeq2,6,samples,differential_expression_DESeq2,5,4.128,4.125,4.159
Bulk RNA-seq,Synthetic,DESeq2,6,samples,qc_hierarchical_clustering,5,0.001,0.001,0.001
Bulk RNA-seq,Synthetic,DESeq2,6,samples,qc_pca,5,0.006,0.005,0.006
Bulk RNA-seq,Synthetic,DESeq2,6,samples,qc_sample_correlation,5,0.0,0.0,0.0
Bulk RNA-seq,Synthetic,DESeq2,6,samples,qc_top_variable_genes,5,0.117,0.116,0.117
Bulk RNA-seq,Synthetic,DESeq2,12,samples,differential_expression_DESeq2,5,5.06,5.01,5.355
Bulk RNA-seq,Synthetic,DESeq2,12,samples,qc_hierarchical_clustering,5,0.0,0.0,0.001
Bulk RNA-seq,Synthetic,DESeq2,12,samples,qc_pca,5,0.007,0.007,0.007
Bulk RNA-seq,Synthetic,DESeq2,12,samples,qc_sample_correlation,5,0.0,0.0,0.001
Bulk RNA-seq,Synthetic,DESeq2,12,samples,qc_top_variable_genes,5,0.122,0.121,0.128
Bulk RNA-seq,Synthetic,DESeq2,24,samples,differential_expression_DESeq2,5,8.43,8.39,8.469
Bulk RNA-seq,Synthetic,DESeq2,24,samples,qc_hierarchical_clustering,5,0.002,0.001,0.002
Bulk RNA-seq,Synthetic,DESeq2,24,samples,qc_pca,5,0.01,0.009,0.01
Bulk RNA-seq,Synthetic,DESeq2,24,samples,qc_sample_correlation,5,0.002,0.002,0.002
Bulk RNA-seq,Synthetic,DESeq2,24,samples,qc_top_variable_genes,5,0.153,0.147,0.162
Bulk RNA-seq,Synthetic,DESeq2,48,samples,differential_expression_DESeq2,5,12.313,12.266,12.394
Bulk RNA-seq,Synthetic,DESeq2,48,samples,qc_hierarchical_clustering,5,0.006,0.006,0.006
Bulk RNA-seq,Synthetic,DESeq2,48,samples,qc_pca,5,0.02,0.019,0.02
