"cluster","condition","Freq"
"0","rd10",561
"1","rd10",1272
"10","rd10",101
"11","rd10",149
"12","rd10",85
"13","rd10",52
"14","rd10",50
"15","rd10",29
"16","rd10",34
"2","rd10",804
"3","rd10",1095
"4","rd10",725
"5","rd10",532
"6","rd10",87
"7","rd10",219
"8","rd10",126
"9","rd10",31
"0","WT",1190
"1","WT",293
"10","WT",138
"11","WT",90
"12","WT",19
"13","WT",2
"14","WT",3
"15","WT",22
"16","WT",13
"2","WT",604
"3","WT",28
"4","WT",397
"5","WT",274
"6","WT",686
"7","WT",211
"8","WT",212
"9","WT",296
