Unnamed: 0,ERR5236650_f_Aligned.sortedByCoord.out.tsv,ERR5236654_f_Aligned.sortedByCoord.out.tsv,ERR5236653_f_Aligned.sortedByCoord.out.tsv,ERR5236624_f_Aligned.sortedByCoord.out.tsv,ERR5236633_f_Aligned.sortedByCoord.out.tsv,ERR5236639_f_Aligned.sortedByCoord.out.tsv,ERR5236618_f_Aligned.sortedByCoord.out.tsv,ERR5236622_m_Aligned.sortedByCoord.out.tsv,ERR5236635_m_Aligned.sortedByCoord.out.tsv,ERR5236655_m_Aligned.sortedByCoord.out.tsv,ERR5236616_m_Aligned.sortedByCoord.out.tsv,ERR5236625_m_Aligned.sortedByCoord.out.tsv,ERR5236641_m_Aligned.sortedByCoord.out.tsv,ERR5236631_m_Aligned.sortedByCoord.out.tsv,ERR5236648_m_Aligned.sortedByCoord.out.tsv,ERR5236642_m_Aligned.sortedByCoord.out.tsv,ERR5236652_m_Aligned.sortedByCoord.out.tsv
A1bg,11,15,8,10,12,11,6,11,3,9,7,13,12,9,8,13,5
A1bg-As1,14,23,15,32,18,20,6,6,3,19,21,23,12,21,16,13,11
A1cf,5,14,13,5,7,8,5,0,2,5,6,7,7,10,12,4,13
A2m,12148,5111,6966,6033,7063,12264,2557,1942,6223,4714,14168,9238,5758,6681,10850,8110,7437
A2m-As1,85,55,44,66,78,37,9,11,26,31,79,154,45,42,68,36,27
A2ml1,58,36,38,63,29,19,20,19,37,27,97,36,37,22,91,24,47
A2ml1-As1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
A2ml1-As2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A2mp1,20,20,18,23,14,20,9,7,15,18,20,23,20,16,27,31,19
A3galt2,2,8,14,5,5,10,1,1,4,8,3,4,5,9,22,8,5
A4galt,69,45,87,77,131,103,57,65,50,30,36,83,55,158,41,123,74
A4gnt,26,21,69,12,12,9,0,0,1,33,15,21,7,9,26,36,18
Aa06,0,1,2,0,0,0,0,0,0,0,0,1,1,0,0,0,1
Aaas,3507,1848,1659,3759,3774,2060,2150,1453,2215,1528,2024,2487,1592,2707,1753,1980,1965
Aacs,1632,1297,1120,2204,1583,920,748,978,895,1120,1167,1933,1017,1617,1033,1281,1013
Aacsp1,11,12,1,3,5,0,5,6,10,13,11,5,4,12,15,17,4
Aadac,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Aadacl2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aadacl2-As1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aadacl3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aadacl4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aadacp1,1,0,1,0,4,2,0,2,2,0,2,2,3,0,4,4,2
Aadat,632,469,420,709,492,558,271,218,210,430,515,586,461,345,613,569,600
Aagab,1661,1366,1127,1721,1576,993,906,804,1163,1187,1279,1197,969,1136,1229,1233,1299
Aak1,8570,8618,9563,7860,7414,7310,3465,2304,3840,5788,5662,6105,10414,6599,9852,7626,6657
Aamdc,135,70,59,108,159,90,81,81,167,64,87,84,82,118,76,109,81
Aamp,4309,2498,1896,4408,4048,2283,1873,1271,2304,2245,2504,2536,1932,3340,2129,2352,2884
Aanat,1522,946,991,3089,2201,870,1855,3024,3791,803,1433,1565,722,1911,912,885,1975
Aar2,800,636,258,854,655,440,370,242,383,495,460,423,320,602,327,366,477
Aard,3,2,5,13,7,1,3,7,2,3,2,5,5,6,4,4,7
