Unnamed: 0,ERR5236650_f_Aligned.sortedByCoord.out.tsv,ERR5236654_f_Aligned.sortedByCoord.out.tsv,ERR5236653_f_Aligned.sortedByCoord.out.tsv,ERR5236639_f_Aligned.sortedByCoord.out.tsv,ERR5236616_m_Aligned.sortedByCoord.out.tsv,ERR5236648_m_Aligned.sortedByCoord.out.tsv,ERR5236652_m_Aligned.sortedByCoord.out.tsv
A1bg,11,15,8,11,7,8,5
A1bg-as1,14,23,15,20,21,16,11
A1cf,5,14,13,8,6,12,13
A2m,12148,5111,6966,12264,14168,10850,7437
A2m-as1,85,55,44,37,79,68,27
A2ml1,58,36,38,19,97,91,47
A2ml1-as1,0,0,0,0,0,0,0
A2ml1-as2,0,0,0,0,0,0,0
A2mp1,20,20,18,20,20,27,19
A3galt2,2,8,14,10,3,22,5
A4galt,69,45,87,103,36,41,74
A4gnt,26,21,69,9,15,26,18
Aa06,0,1,2,0,0,0,1
Aaas,3507,1848,1659,2060,2024,1753,1965
Aacs,1632,1297,1120,920,1167,1033,1013
Aacsp1,11,12,1,0,11,15,4
Aadac,0,0,0,0,0,0,0
Aadacl2,0,0,0,0,0,0,0
Aadacl2-as1,0,0,0,0,0,0,0
Aadacl3,0,0,0,0,0,0,0
Aadacl4,0,0,0,0,0,0,0
Aadacp1,1,0,1,2,2,4,2
Aadat,632,469,420,558,515,613,600
Aagab,1661,1366,1127,993,1279,1229,1299
Aak1,8570,8618,9563,7310,5662,9852,6657
Aamdc,135,70,59,90,87,76,81
Aamp,4309,2498,1896,2283,2504,2129,2884
Aanat,1522,946,991,870,1433,912,1975
Aar2,800,636,258,440,460,327,477
Aard,3,2,5,1,2,4,7
Aars,12296,8198,7816,6107,6307,6091,6343
Aars2,1551,942,599,848,917,1005,953
Aarsd1,159,99,105,82,176,302,318
Aarsp1,0,0,0,0,0,0,0
Aasdh,886,826,648,594,591,712,635
Aasdhppt,1070,1018,811,972,1019,901,869
Aass,98,340,375,250,267,804,314
Aatbc,6,41,49,10,24,129,16
Aatf,1662,1662,1314,933,877,687,1007
Aatk,1513,1316,1877,1334,1628,1712,2315
Ab015752.1,0,0,1,2,0,0,0
Abalon,5,11,11,16,1,17,11
Abat,3154,3628,3667,3129,3372,3555,2913
Abba01000935.2,2,3,0,0,0,0,0
Abba01006766.1,0,0,0,0,0,0,0
Abca1,234,491,277,522,312,966,296
Abca10,271,276,330,240,261,266,348
Abca11p,73,60,38,48,104,56,63
Abca12,29,36,8,18,40,37,17
Abca13,22,50,45,8,20,25,70
Abca17p,185,99,170,114,116,95,99
Abca2,4226,4036,4570,3869,3949,4419,4454
Abca3,3862,3145,2676,2332,2936,3122,2528
Abca4,125949,74754,60847,65106,58609,50552,74267
Abca5,3844,4160,5408,3378,3882,5610,4335
Abca6,37,58,56,40,54,93,61
Abca7,54824,34145,32997,51185,29900,33402,31946
Abca8,883,880,1349,1124,1489,1318,1430
Abca9,585,624,556,609,606,884,647
Abca9-as1,0,1,0,0,1,2,0
Abcb1,251,172,181,387,289,320,261
Abcb10,543,540,273,396,442,432,366
Abcb10p1,3,4,1,1,4,7,3
Abcb10p3,0,0,0,0,1,0,0
Abcb10p4,1,1,1,1,0,1,0
Abcb11,69,28,26,55,44,79,23
Abcb4,27,27,39,28,46,36,25
Abcb5,0,0,0,0,0,1,1
Abcb6,131,108,293,199,94,135,149
Abcb7,779,530,657,568,545,567,591
Abcb8,2874,2474,2513,2057,2407,3035,2538
Abcb9,1129,753,728,535,925,743,726
Abcc1,1616,1412,1516,1334,871,1098,1221
Abcc10,1176,929,699,984,976,1008,799
Abcc11,18,18,24,13,24,19,18
Abcc12,0,0,0,0,0,1,0
Abcc13,0,0,0,0,0,0,2
Abcc2,786,365,400,273,420,232,330
Abcc3,195,217,564,703,129,560,218
Abcc4,107,45,57,86,40,68,40
Abcc5,10386,11546,9379,6919,7364,8245,7290
Abcc5-as1,1,1,2,0,1,0,0
Abcc6,60,60,44,44,111,91,19
Abcc6p1,20,41,17,14,20,15,19
Abcc6p2,13,17,12,5,15,12,12
Abcc8,1535,1372,1479,1287,1521,1235,1530
Abcc9,67,140,165,217,176,395,212
Abcd1,279,218,179,219,223,196,200
Abcd1p2,0,0,0,0,0,0,2
Abcd1p3,0,0,0,0,0,0,0
Abcd1p4,0,0,0,0,0,0,0
Abcd1p5,0,0,0,0,0,0,0
Abcd2,317,410,533,217,563,620,251
Abcd3,1663,1899,1239,1454,1626,1734,1520
Abcd4,3188,2224,2521,2692,2166,2271,2363
Abce1,836,711,692,440,623,752,630
Abcf1,4896,3259,2912,2590,2684,2341,3714
Abcf2,940,407,249,401,400,270,368
Abcf2p1,2,1,2,0,1,0,0
Abcf2p2,0,0,0,0,0,0,0
Abcf3,3955,3290,2378,2646,2933,2926,3201
Abcg1,1856,2395,1259,1579,1417,2596,2040
Abcg2,191,153,99,247,355,347,152
Abcg4,15458,11441,9125,11391,10095,11455,10959
Abcg5,37,31,13,27,26,28,44
Abcg8,11,7,7,3,5,12,3
Abhd1,167,65,32,93,124,112,87
Abhd10,2027,1586,1130,1059,1204,981,1003
Abhd11,930,587,421,409,664,425,577
Abhd11-as1,3,3,3,1,0,7,1
Abhd12,2927,1758,1421,1483,1723,1349,1901
Abhd12b,2650,1949,2039,1865,2040,2096,2402
Abhd13,440,577,329,416,370,502,437
Abhd14a,1948,982,799,738,875,543,944
Abhd14a-acy1,12,6,19,10,12,8,8
Abhd14b,4627,2034,2903,2725,2500,2299,2908
Abhd15,183,84,92,188,99,118,66
Abhd15-as1,0,0,0,0,0,0,0
Abhd16a,67,70,67,69,74,113,94
Abhd16b,0,0,0,0,0,0,0
Abhd17a,2720,1628,1246,1693,1602,1316,2020
Abhd17ap1,5,8,4,2,1,3,6
Abhd17ap3,0,0,0,0,1,1,1
Abhd17ap4,1,2,0,0,0,4,0
Abhd17ap5,1,0,0,1,2,2,1
Abhd17ap6,7,2,10,4,3,5,4
Abhd17ap7,0,0,0,0,0,0,0
Abhd17ap8,0,0,0,0,0,0,0
Abhd17ap9,0,0,0,0,0,0,0
Abhd17b,1757,1221,696,734,977,615,899
Abhd17c,1129,752,784,680,410,412,468
Abhd18,562,572,501,440,476,622,524
Abhd2,1318,1797,2021,1165,1475,3062,1550
Abhd3,332,185,179,233,190,149,197
Abhd4,1480,1153,1014,1053,990,887,1172
Abhd5,546,629,450,351,449,521,536
Abhd6,667,797,485,527,581,503,424
Abhd8,2920,1652,1148,1523,1190,947,1337
