	WT_F1	WT_F2	WT_M3	WT_M4	rd10_F4	rd10_F3	rd10_F2	rd10_F1	rd10_M8	rd10_M6	rd10_M7	rd10_M5
0610005C13Rik	32	47	27	35	44	39	35	37	44	36	27	32
0610006L08Rik	3	3	3	0	3	1	2	3	3	0	2	0
0610009B22Rik	894	1015	928	1215	648	537	655	568	663	765	648	724
0610009E02Rik	23	32	38	43	34	20	19	26	29	26	28	17
0610009L18Rik	30	37	49	42	49	41	34	47	49	57	43	56
0610010F05Rik	948	1162	1000	1321	1453	1091	1305	1313	1650	1528	1063	1642
0610010K14Rik	49	46	35	47	29	30	21	25	30	26	28	27
0610012D04Rik	0	0	1	0	0	1	0	0	0	1	2	0
0610012G03Rik	714	780	782	921	920	700	841	847	1080	1004	855	959
0610025J13Rik	0	2	1	0	1	2	0	0	2	1	3	1
0610030E20Rik	13	17	14	15	13	5	21	12	12	1	7	14
0610031O16Rik	0	0	0	0	0	0	0	0	0	0	0	0
0610033M10Rik	1	1	0	2	1	1	0	0	0	2	0	0
0610038B21Rik	115	151	116	146	34	31	41	46	30	50	43	36
0610039K10Rik	5	3	2	4	0	3	3	4	3	3	0	6
0610040B10Rik	67	105	70	106	70	76	62	94	87	81	52	126
0610040F04Rik	12	16	21	24	32	15	32	27	34	32	28	31
0610040J01Rik	30	28	37	39	103	61	90	91	102	71	93	107
0610043K17Rik	3	6	12	5	7	13	6	7	10	5	6	7
0710001A04Rik	6	8	5	4	4	6	2	6	1	6	3	1
1010001B22Rik	11	20	12	22	15	13	9	24	26	21	18	24
1100001I12Rik	0	0	0	0	0	0	0	0	0	0	0	0
1110002E22Rik	107	142	116	134	330	254	282	229	341	293	232	353
1110002J07Rik	2	4	4	4	2	4	6	3	8	7	2	6
1110002L01Rik	511	602	570	785	324	398	442	388	383	444	463	385
1110002O04Rik	0	0	2	0	0	0	1	1	2	3	0	2
1110003F10Rik	16	24	11	23	18	13	8	15	18	18	17	17
1110004F10Rik	2063	2298	2250	2686	2574	1855	2364	2648	3007	2603	2279	3115
1110006O24Rik	6	17	16	15	18	22	13	22	14	21	13	18
1110008E08Rik	7	0	1	0	2	2	2	1	1	0	0	0
1110008P14Rik	691	828	785	1037	911	708	913	966	1060	905	894	974
1110012L19Rik	387	426	447	518	570	379	477	491	641	548	501	542
1110013H19Rik	13	19	16	26	13	16	10	12	13	7	7	20
1110015O18Rik	26	40	34	37	70	45	58	52	74	61	45	95
1110017D15Rik	9	8	9	6	13	10	12	9	17	16	10	11
1110018N20Rik	299	327	284	409	138	222	228	186	157	184	222	175
1110019B22Rik	0	2	0	0	0	0	0	0	2	0	0	0
1110019D14Rik	40	49	66	60	84	56	63	54	73	69	60	60
1110020A21Rik	125	150	129	166	75	87	99	75	75	63	96	76
1110025L11Rik	0	0	0	0	0	0	0	0	0	0	0	0
1110025M09Rik	30	76	59	50	48	48	34	53	42	36	38	73
1110028F11Rik	0	0	0	0	0	0	0	0	0	1	0	0
1110028F18Rik	0	0	0	0	0	0	0	0	0	0	0	0
1110032A03Rik	617	676	683	923	846	649	757	796	949	851	642	969
1110032F04Rik	34	47	36	46	95	52	77	65	79	65	52	62
1110035H17Rik	18	20	15	19	8	9	10	13	6	17	18	16
1110038B12Rik	162	237	220	190	249	148	203	247	231	226	176	199
1110038F14Rik	672	836	657	751	563	543	575	658	604	638	632	544
1110046J04Rik	19	21	23	29	43	39	34	39	41	44	43	48
1110051M20Rik	2688	3120	2909	3443	2346	1972	2291	2454	2702	2504	2182	2636
1110057P08Rik	0	0	0	0	0	0	0	0	0	0	0	0
1110059E24Rik	462	538	489	647	703	512	647	588	842	687	560	754
1110059G10Rik	316	428	355	457	411	335	369	383	433	384	303	453
1110060G06Rik	0	0	4	0	0	0	0	1	0	1	2	0
1110065P20Rik	177	200	197	207	242	184	213	194	241	261	190	243
1190001M18Rik	0	0	0	0	1	0	0	0	0	2	0	0
1190005I06Rik	50	59	53	91	70	51	57	42	56	48	44	54
1190007I07Rik	185	163	157	214	180	158	164	183	222	222	179	202
1190028D05Rik	0	0	0	0	0	0	0	0	0	0	0	0
1200007C13Rik	0	0	1	0	6	3	3	87	1	6	15	3
1300002E11Rik	599	825	565	878	545	538	511	559	552	585	453	560
1300014J16Rik	83	84	74	101	60	76	63	78	90	54	50	58
