"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
3.55561462459523e-162,5.24177663170572,0.997,0.584,6.58962058376233e-158,"0","Rho"
1.21875450230153e-154,4.61814354923109,0.982,0.401,2.25871771911542e-150,"0","Pdc"
9.37050431704331e-153,5.17196774607687,0.967,0.308,1.73663556507764e-148,"0","Gnat1"
1.08820808442854e-151,4.676823198491,0.966,0.324,2.01677604287142e-147,"0","Rp1"
3.36348729277502e-151,3.6549174016608,0.997,0.493,6.23355099969994e-147,"0","Sag"
1.3620579338398e-143,4.84689412743237,0.914,0.215,2.5243019687853e-139,"0","Pde6a"
5.81555387233657e-142,3.83416964079857,0.961,0.428,1.07779659916014e-137,"0","Prph2"
8.74280264682894e-142,3.87135607228581,0.949,0.325,1.62030361453681e-137,"0","Pde6g"
2.82259161093245e-140,3.51145268509758,0.961,0.589,5.23110903254111e-136,"0","Rom1"
1.51423516104222e-137,3.25118349153908,0.972,0.506,2.80633202395954e-133,"0","Gngt1"
5.87944968949646e-136,5.81455092773818,0.876,0.122,1.08963841095438e-131,"0","Cnga1"
8.20395262842997e-134,4.25821464380956,0.938,0.498,1.52043854062693e-129,"0","Gnb1"
1.61052540564904e-130,5.48129943704668,0.869,0.141,2.98478673428936e-126,"0","Guca1b"
2.3906717640497e-123,4.95229368931966,0.875,0.184,4.4306319803133e-119,"0","Pde6b"
4.54343562649437e-120,2.9227052137096,0.914,0.299,8.42034924658202e-116,"0","Tulp1"
2.93999556707552e-117,3.4870988263165,0.897,0.266,5.44869378446107e-113,"0","Rcvrn"
2.7429956409882e-115,5.52224996679355,0.792,0.108,5.08359382144343e-111,"0","Nrl"
8.4718249225914e-109,2.44888118218119,0.936,0.332,1.57008331290386e-104,"0","Guca1a"
1.41220576422917e-105,5.86108160601597,0.75,0.078,2.61724094284593e-101,"0","Nr2e3"
1.54948446355769e-99,3.19132090265256,0.858,0.382,2.87165955631146e-95,"0","Rpgrip1"
6.84570440426525e-98,4.99088929859371,0.767,0.134,1.26871439724248e-93,"0","Slc24a1"
